id,modality,group,gender,profession,prompt,seed,source_model,source_domain,y_true,clip_score,quality_score,template_id,file_path,target_group_score,pred_group,pred_group_score,group_margin,human_photo_score,toy_score,cartoon_score,object_score,deformed_face_score,low_quality_score,detector_name,score,y_hat,split
real_female-doctor_0009,image,female-doctor,female,doctor,"A real photo of a female doctor in a hospital, realistic and natural.",10051,real_photograph,real_reference,0,0.2824641168117523,-3.653877777900456,-1,/content/drive/MyDrive/project/data/generated_balanced/female-doctor/fd (18).png,0.281507283449173,female-doctor,0.281507283449173,0.0141753554344177,0.2435346841812133,0.2362601161003112,0.2537971138954162,0.1892983764410019,0.1678074896335601,0.1900653839111328,cnndetection,0.0,0,test
real_female-doctor_0006,image,female-doctor,female,doctor,"A real photo of a female doctor in a hospital, realistic and natural.",10048,real_photograph,real_reference,0,0.2822503447532654,-23.861057440091137,-1,/content/drive/MyDrive/project/data/generated_balanced/female-doctor/fd (15).png,0.3060228526592254,female-doctor,0.3060228526592254,0.0154006779193878,0.2527731955051422,0.2516833841800689,0.2672902047634125,0.2285490930080413,0.202416330575943,0.2150262743234634,cnndetection,5.960464477539063e-08,0,test
real_female-doctor_0041,image,female-doctor,female,doctor,"A real photo of a female doctor in a hospital, realistic and natural.",10083,real_photograph,real_reference,0,0.2787548899650574,-5.54347722846907,-1,/content/drive/MyDrive/project/data/generated_balanced/female-doctor/fd (47).png,0.2675390839576721,female-doctor,0.2675390839576721,0.0276252478361129,0.2302611917257309,0.2190887182950973,0.2045290917158126,0.1672464311122894,0.1851925253868103,0.1854886710643768,cnndetection,1.9848346710205078e-05,0,test
real_female-doctor_0017,image,female-doctor,female,doctor,"A real photo of a female doctor in a hospital, realistic and natural.",10059,real_photograph,real_reference,0,0.2943578958511352,-1.4603900669789818,-1,/content/drive/MyDrive/project/data/generated_balanced/female-doctor/fd (25).png,0.2827540338039398,female-doctor,0.2827540338039398,0.0141470730304718,0.2493747919797897,0.236746683716774,0.2432251423597335,0.1931919157505035,0.20894256234169,0.22161565721035,cnndetection,0.0,0,test
real_female-doctor_0044,image,female-doctor,female,doctor,"A real photo of a female doctor in a hospital, realistic and natural.",10086,real_photograph,real_reference,0,0.277266263961792,-16.188434274112268,-1,/content/drive/MyDrive/project/data/generated_balanced/female-doctor/fd (5).png,0.2648811638355255,female-doctor,0.2648811638355255,0.0202191919088363,0.2391810715198516,0.22587850689888,0.2250034064054489,0.1595714390277862,0.1808738112449646,0.1920528411865234,cnndetection,2.384185791015625e-07,0,test
real_female-doctor_0025,image,female-doctor,female,doctor,"A real photo of a female doctor in a hospital, realistic and natural.",10067,real_photograph,real_reference,0,0.2950168550014496,-9.681737515012047,-1,/content/drive/MyDrive/project/data/generated_balanced/female-doctor/fd (32).png,0.2912907600402832,female-doctor,0.2912907600402832,0.0145677924156188,0.2403907775878906,0.2310477197170257,0.2302743643522262,0.1634658277034759,0.2013174146413803,0.1925471127033233,cnndetection,0.0,0,test
real_female-doctor_0019,image,female-doctor,female,doctor,"A real photo of a female doctor in a hospital, realistic and natural.",10061,real_photograph,real_reference,0,0.2754509747028351,-2.082641645658728,-1,/content/drive/MyDrive/project/data/generated_balanced/female-doctor/fd (27).png,0.2818445861339569,female-doctor,0.2818445861339569,0.025926262140274,0.2271424829959869,0.2261989116668701,0.23736372590065,0.1722679585218429,0.1828387975692749,0.2025119960308075,cnndetection,0.0,0,test
real_female-doctor_0023,image,female-doctor,female,doctor,"A real photo of a female doctor in a hospital, realistic and natural.",10065,real_photograph,real_reference,0,0.2740755975246429,-4.204226256044326,-1,/content/drive/MyDrive/project/data/generated_balanced/female-doctor/fd (30).png,0.2630522549152374,female-doctor,0.2630522549152374,0.0103417932987213,0.2334670126438141,0.2166537493467331,0.2191152125597,0.1500962823629379,0.1798176169395446,0.1922546029090881,cnndetection,0.0,0,test
real_female-doctor_0005,image,female-doctor,female,doctor,"A real photo of a female doctor in a hospital, realistic and natural.",10047,real_photograph,real_reference,0,0.2999074459075928,-2.8230262071863432,-1,/content/drive/MyDrive/project/data/generated_balanced/female-doctor/fd (14).png,0.3041837811470032,female-doctor,0.3041837811470032,0.019880473613739,0.2461918145418167,0.24390409886837,0.2679107785224914,0.2004947811365127,0.185394212603569,0.2014948427677154,cnndetection,0.0,0,test
real_female-doctor_0022,image,female-doctor,female,doctor,"A real photo of a female doctor in a hospital, realistic and natural.",10064,real_photograph,real_reference,0,0.2707392871379852,-13.117523823396894,-1,/content/drive/MyDrive/project/data/generated_balanced/female-doctor/fd (3).png,0.2724940478801727,female-doctor,0.2724940478801727,0.0154402256011962,0.2251516878604889,0.2213846147060394,0.2198003977537155,0.17157743871212,0.2038929015398025,0.192682072520256,cnndetection,5.960464477539063e-08,0,test
